[INFO ] 2019-04-20 15:55:02,877 -- WorkingPath: ./CARSKit.Workspace/
[INFO ] 2019-04-20 15:55:02,883 -- Your original rating data path: ./result.csv
[INFO ] 2019-04-20 15:55:02,883 -- Current working path: ./CARSKit.Workspace/
[WARN ] 2019-04-20 15:55:02,885 -- You rating data is in Compact format. CARSKit is working on transformation on the data format...
[INFO ] 2019-04-20 15:55:02,904 -- User, Item, Rating, start:đà nẵng, start:hà nội, start:hồ chí minh, price:cheap, price:expensive, price:reasonable, date:weekday, date:weekend, duration:3, duration:5, :na
[INFO ] 2019-04-20 15:55:02,919 -- Data transformaton completed (from Compact to Binary format). See new rating file: ./CARSKit.Workspace/train.csv
[INFO ] 2019-04-20 15:55:02,931 -- Dataset: ./CARSKit.Workspace/train.csv
[INFO ] 2019-04-20 15:55:02,933 -- DataPath: ./CARSKit.Workspace/train.csv
[INFO ] 2019-04-20 15:55:02,967 -- Rating data set has been successfully loaded.
[INFO ] 2019-04-20 15:55:02,970 -- 
/***********************************************************************
 *
 * Dataset: ./CARSKit.Workspace/train.csv
 * 
 * Statistics of U-I-C Matrix:
 * User amount: 102
 * Item amount: 30
 * Rate amount: 579
 * Context dimensions: 5 (start, price, date, duration, )
 * Context conditions: 11 (start: 3, price: 3, date: 2, duration: 2, : 1)
 * Context situations: 16
 * Data density: 0.5256%
 * Scale distribution: [4.0 x 108, 4.5 x 361, 3.5 x 110]
 * Average value of all ratings: 4.216753
 * Standard deviation of all ratings: 0.395457
 * Mode of all rating values: 4.500000
 * Median of all rating values: 4.500000
 *
 ***********************************************************************/
[INFO ] 2019-04-20 15:55:02,972 -- With Setup: cv -k 5 -p on --rand-seed 1 --test-view all
[DEBUG] 2019-04-20 15:55:02,976 -- Fold [1]: training amount: 463, test amount: 116
[DEBUG] 2019-04-20 15:55:02,978 -- Fold [2]: training amount: 463, test amount: 116
[DEBUG] 2019-04-20 15:55:02,979 -- Fold [3]: training amount: 463, test amount: 116
[DEBUG] 2019-04-20 15:55:02,980 -- Fold [4]: training amount: 463, test amount: 116
[DEBUG] 2019-04-20 15:55:02,982 -- Fold [5]: training amount: 464, test amount: 115
[DEBUG] 2019-04-20 15:55:03,059 -- CAMF_CU fold [4] iter 7: loss = 16.361813, delta_loss = 5.136499, learn_rate = 0.025525631
[DEBUG] 2019-04-20 15:55:03,062 -- CAMF_CU fold [1] iter 7: loss = 16.600023, delta_loss = 5.3262835, learn_rate = 0.025525631
[DEBUG] 2019-04-20 15:55:03,066 -- CAMF_CU fold [4] iter 8: loss = 12.975924, delta_loss = 3.385889, learn_rate = 0.026801912
[DEBUG] 2019-04-20 15:55:03,067 -- CAMF_CU fold [1] iter 8: loss = 13.080277, delta_loss = 3.5197456, learn_rate = 0.026801912
[DEBUG] 2019-04-20 15:55:03,071 -- CAMF_CU fold [4] iter 9: loss = 10.568438, delta_loss = 2.4074857, learn_rate = 0.028142007
[DEBUG] 2019-04-20 15:55:03,073 -- CAMF_CU fold [1] iter 9: loss = 10.577179, delta_loss = 2.5030985, learn_rate = 0.028142007
[DEBUG] 2019-04-20 15:55:03,077 -- CAMF_CU fold [1] iter 10: loss = 8.709831, delta_loss = 1.8673478, learn_rate = 0.029549109
[DEBUG] 2019-04-20 15:55:03,081 -- CAMF_CU fold [4] iter 10: loss = 8.768902, delta_loss = 1.7995356, learn_rate = 0.029549109
[DEBUG] 2019-04-20 15:55:03,084 -- CAMF_CU fold [5] iter 7: loss = 16.708506, delta_loss = 5.936703, learn_rate = 0.025525631
[DEBUG] 2019-04-20 15:55:03,087 -- CAMF_CU fold [2] iter 6: loss = 24.962826, delta_loss = 11.541486, learn_rate = 0.024310125
[DEBUG] 2019-04-20 15:55:03,088 -- CAMF_CU fold [3] iter 7: loss = 17.332886, delta_loss = 5.887788, learn_rate = 0.025525631
[DEBUG] 2019-04-20 15:55:03,090 -- CAMF_CU fold [5] iter 8: loss = 12.923774, delta_loss = 3.7847319, learn_rate = 0.026801912
[DEBUG] 2019-04-20 15:55:03,093 -- CAMF_CU fold [2] iter 7: loss = 18.280567, delta_loss = 6.682259, learn_rate = 0.025525631
[DEBUG] 2019-04-20 15:55:03,093 -- CAMF_CU fold [3] iter 8: loss = 13.477545, delta_loss = 3.8553402, learn_rate = 0.026801912
[DEBUG] 2019-04-20 15:55:03,097 -- CAMF_CU fold [2] iter 8: loss = 14.001649, delta_loss = 4.278917, learn_rate = 0.026801912
[DEBUG] 2019-04-20 15:55:03,098 -- CAMF_CU fold [3] iter 9: loss = 10.777071, delta_loss = 2.7004743, learn_rate = 0.028142007
[DEBUG] 2019-04-20 15:55:03,103 -- CAMF_CU fold [5] iter 9: loss = 10.313754, delta_loss = 2.6100197, learn_rate = 0.028142007
[DEBUG] 2019-04-20 15:55:03,103 -- CAMF_CU fold [3] iter 10: loss = 8.793619, delta_loss = 1.9834514, learn_rate = 0.029549109
[DEBUG] 2019-04-20 15:55:03,104 -- CAMF_CU fold [2] iter 9: loss = 11.068703, delta_loss = 2.932947, learn_rate = 0.028142007
[DEBUG] 2019-04-20 15:55:03,106 -- CAMF_CU fold [3] iter 11: loss = 7.28325, delta_loss = 1.5103692, learn_rate = 0.031026565
[DEBUG] 2019-04-20 15:55:03,113 -- CAMF_CU fold [2] iter 10: loss = 8.953768, delta_loss = 2.1149342, learn_rate = 0.029549109
[DEBUG] 2019-04-20 15:55:03,113 -- CAMF_CU fold [3] iter 12: loss = 6.1005783, delta_loss = 1.1826719, learn_rate = 0.03257789
[DEBUG] 2019-04-20 15:55:03,117 -- CAMF_CU fold [2] iter 11: loss = 7.366731, delta_loss = 1.5870368, learn_rate = 0.031026565
[DEBUG] 2019-04-20 15:55:03,117 -- CAMF_CU fold [3] iter 13: loss = 5.154597, delta_loss = 0.94598114, learn_rate = 0.034206785
[DEBUG] 2019-04-20 15:55:03,121 -- CAMF_CU fold [3] iter 14: loss = 4.3858185, delta_loss = 0.7687786, learn_rate = 0.035917126
[DEBUG] 2019-04-20 15:55:03,121 -- CAMF_CU fold [2] iter 12: loss = 6.137687, delta_loss = 1.2290442, learn_rate = 0.03257789
[DEBUG] 2019-04-20 15:55:03,125 -- CAMF_CU fold [3] iter 15: loss = 3.753697, delta_loss = 0.6321215, learn_rate = 0.037712984
[DEBUG] 2019-04-20 15:55:03,126 -- CAMF_CU fold [3] iter 16: loss = 3.2294576, delta_loss = 0.52423936, learn_rate = 0.039598633
[DEBUG] 2019-04-20 15:55:03,127 -- CAMF_CU fold [3] iter 17: loss = 2.7918985, delta_loss = 0.437559, learn_rate = 0.04157856
[DEBUG] 2019-04-20 15:55:03,108 -- CAMF_CU fold [1] iter 11: loss = 7.2687097, delta_loss = 1.4411215, learn_rate = 0.031026565
[DEBUG] 2019-04-20 15:55:03,107 -- CAMF_CU fold [5] iter 10: loss = 8.411884, delta_loss = 1.9018694, learn_rate = 0.029549109
[DEBUG] 2019-04-20 15:55:03,129 -- CAMF_CU fold [4] iter 11: loss = 7.3744845, delta_loss = 1.3944174, learn_rate = 0.031026565
[DEBUG] 2019-04-20 15:55:03,133 -- CAMF_CU fold [5] iter 11: loss = 6.969553, delta_loss = 1.4423312, learn_rate = 0.031026565
[DEBUG] 2019-04-20 15:55:03,135 -- CAMF_CU fold [4] iter 12: loss = 6.26443, delta_loss = 1.1100547, learn_rate = 0.03257789
[DEBUG] 2019-04-20 15:55:03,136 -- CAMF_CU fold [1] iter 12: loss = 6.1281815, delta_loss = 1.1405281, learn_rate = 0.03257789
[DEBUG] 2019-04-20 15:55:03,138 -- CAMF_CU fold [5] iter 12: loss = 5.8429813, delta_loss = 1.1265719, learn_rate = 0.03257789
[DEBUG] 2019-04-20 15:55:03,142 -- CAMF_CU fold [1] iter 13: loss = 5.208039, delta_loss = 0.9201427, learn_rate = 0.034206785
[DEBUG] 2019-04-20 15:55:03,142 -- CAMF_CU fold [5] iter 13: loss = 4.943423, delta_loss = 0.89955837, learn_rate = 0.034206785
[DEBUG] 2019-04-20 15:55:03,125 -- CAMF_CU fold [2] iter 13: loss = 5.1621876, delta_loss = 0.9754997, learn_rate = 0.034206785
[DEBUG] 2019-04-20 15:55:03,145 -- CAMF_CU fold [5] iter 14: loss = 4.2130527, delta_loss = 0.7303702, learn_rate = 0.035917126
[DEBUG] 2019-04-20 15:55:03,145 -- CAMF_CU fold [1] iter 14: loss = 4.4544826, delta_loss = 0.75355595, learn_rate = 0.035917126
[DEBUG] 2019-04-20 15:55:03,148 -- CAMF_CU fold [1] iter 15: loss = 3.8299675, delta_loss = 0.62451535, learn_rate = 0.037712984
[DEBUG] 2019-04-20 15:55:03,148 -- CAMF_CU fold [5] iter 15: loss = 3.6124153, delta_loss = 0.60063726, learn_rate = 0.037712984
[DEBUG] 2019-04-20 15:55:03,150 -- CAMF_CU fold [4] iter 13: loss = 5.3624835, delta_loss = 0.9019463, learn_rate = 0.034206785
[DEBUG] 2019-04-20 15:55:03,151 -- CAMF_CU fold [5] iter 16: loss = 3.113504, delta_loss = 0.49891138, learn_rate = 0.039598633
[DEBUG] 2019-04-20 15:55:03,151 -- CAMF_CU fold [1] iter 16: loss = 3.3074317, delta_loss = 0.52253556, learn_rate = 0.039598633
[DEBUG] 2019-04-20 15:55:03,154 -- CAMF_CU fold [5] iter 17: loss = 2.6957557, delta_loss = 0.41774827, learn_rate = 0.04157856
[DEBUG] 2019-04-20 15:55:03,154 -- CAMF_CU fold [1] iter 17: loss = 2.8668458, delta_loss = 0.44058603, learn_rate = 0.04157856
[DEBUG] 2019-04-20 15:55:03,156 -- CAMF_CU fold [4] iter 14: loss = 4.6181593, delta_loss = 0.7443243, learn_rate = 0.035917126
[DEBUG] 2019-04-20 15:55:03,157 -- CAMF_CU fold [5] iter 18: loss = 2.3436434, delta_loss = 0.35211238, learn_rate = 0.04365749
[DEBUG] 2019-04-20 15:55:03,157 -- CAMF_CU fold [1] iter 18: loss = 2.4930444, delta_loss = 0.3738015, learn_rate = 0.04365749
[DEBUG] 2019-04-20 15:55:03,159 -- CAMF_CU fold [5] iter 19: loss = 2.0451756, delta_loss = 0.29846781, learn_rate = 0.045840364
[DEBUG] 2019-04-20 15:55:03,159 -- CAMF_CU fold [1] iter 19: loss = 2.1743195, delta_loss = 0.31872487, learn_rate = 0.045840364
[DEBUG] 2019-04-20 15:55:03,161 -- CAMF_CU fold [5] iter 20: loss = 1.7909318, delta_loss = 0.2542437, learn_rate = 0.048132382
[DEBUG] 2019-04-20 15:55:03,161 -- CAMF_CU fold [1] iter 20: loss = 1.9014773, delta_loss = 0.2728421, learn_rate = 0.048132382
[DEBUG] 2019-04-20 15:55:03,163 -- CAMF_CU fold [5] iter 21: loss = 1.5734192, delta_loss = 0.21751264, learn_rate = 0.050539
[DEBUG] 2019-04-20 15:55:03,164 -- CAMF_CU fold [5] iter 22: loss = 1.3866261, delta_loss = 0.18679301, learn_rate = 0.053065952
[DEBUG] 2019-04-20 15:55:03,164 -- CAMF_CU fold [1] iter 21: loss = 1.6671901, delta_loss = 0.23428725, learn_rate = 0.050539
[DEBUG] 2019-04-20 15:55:03,166 -- CAMF_CU fold [5] iter 23: loss = 1.2257009, delta_loss = 0.1609253, learn_rate = 0.05571925
[DEBUG] 2019-04-20 15:55:03,166 -- CAMF_CU fold [1] iter 22: loss = 1.4655399, delta_loss = 0.20165007, learn_rate = 0.053065952
[DEBUG] 2019-04-20 15:55:03,168 -- CAMF_CU fold [5] iter 24: loss = 1.0867087, delta_loss = 0.13899222, learn_rate = 0.058505215
[DEBUG] 2019-04-20 15:55:03,168 -- CAMF_CU fold [1] iter 23: loss = 1.2916914, delta_loss = 0.1738485, learn_rate = 0.05571925
[DEBUG] 2019-04-20 15:55:03,173 -- CAMF_CU fold [1] iter 24: loss = 1.1416498, delta_loss = 0.15004167, learn_rate = 0.058505215
[DEBUG] 2019-04-20 15:55:03,174 -- CAMF_CU fold [1] iter 25: loss = 1.0120806, delta_loss = 0.12956929, learn_rate = 0.061430473
[DEBUG] 2019-04-20 15:55:03,175 -- CAMF_CU fold [5] iter 25: loss = 0.96644336, delta_loss = 0.120265275, learn_rate = 0.061430473
[DEBUG] 2019-04-20 15:55:03,176 -- CAMF_CU fold [1] iter 26: loss = 0.90017253, delta_loss = 0.11190802, learn_rate = 0.064502
[DEBUG] 2019-04-20 15:55:03,176 -- CAMF_CU fold [5] iter 26: loss = 0.8622765, delta_loss = 0.10416686, learn_rate = 0.064502
[DEBUG] 2019-04-20 15:55:03,178 -- CAMF_CU fold [1] iter 27: loss = 0.8035334, delta_loss = 0.09663911, learn_rate = 0.0677271
[DEBUG] 2019-04-20 15:55:03,178 -- CAMF_CU fold [5] iter 27: loss = 0.7720348, delta_loss = 0.09024165, learn_rate = 0.0677271
[DEBUG] 2019-04-20 15:55:03,179 -- CAMF_CU fold [2] iter 14: loss = 4.373256, delta_loss = 0.788931, learn_rate = 0.035917126
[DEBUG] 2019-04-20 15:55:03,180 -- CAMF_CU fold [4] iter 15: loss = 3.9966211, delta_loss = 0.621538, learn_rate = 0.037712984
[DEBUG] 2019-04-20 15:55:03,180 -- CAMF_CU fold [1] iter 28: loss = 0.72010964, delta_loss = 0.08342374, learn_rate = 0.07111345
[DEBUG] 2019-04-20 15:55:03,180 -- CAMF_CU fold [5] iter 28: loss = 0.69390124, delta_loss = 0.078133635, learn_rate = 0.07111345
[DEBUG] 2019-04-20 15:55:03,182 -- CAMF_CU fold [2] iter 15: loss = 3.7261965, delta_loss = 0.64705986, learn_rate = 0.037712984
[DEBUG] 2019-04-20 15:55:03,182 -- CAMF_CU fold [4] iter 16: loss = 3.4729233, delta_loss = 0.523698, learn_rate = 0.039598633
[DEBUG] 2019-04-20 15:55:03,182 -- CAMF_CU fold [5] iter 29: loss = 0.62633467, delta_loss = 0.06756656, learn_rate = 0.07466912
[DEBUG] 2019-04-20 15:55:03,184 -- CAMF_CU fold [2] iter 16: loss = 3.1899886, delta_loss = 0.53620785, learn_rate = 0.039598633
[DEBUG] 2019-04-20 15:55:03,184 -- CAMF_CU fold [4] iter 17: loss = 3.028598, delta_loss = 0.44432503, learn_rate = 0.04157856
[DEBUG] 2019-04-20 15:55:03,185 -- CAMF_CU fold [2] iter 17: loss = 2.7422764, delta_loss = 0.44771215, learn_rate = 0.04157856
[DEBUG] 2019-04-20 15:55:03,186 -- CAMF_CU fold [4] iter 18: loss = 2.6495757, delta_loss = 0.37902245, learn_rate = 0.04365749
[DEBUG] 2019-04-20 15:55:03,187 -- CAMF_CU fold [2] iter 18: loss = 2.366372, delta_loss = 0.37590435, learn_rate = 0.04365749
[DEBUG] 2019-04-20 15:55:03,187 -- CAMF_CU fold [4] iter 19: loss = 2.3248737, delta_loss = 0.32470202, learn_rate = 0.045840364
[DEBUG] 2019-04-20 15:55:03,188 -- CAMF_CU fold [2] iter 19: loss = 2.0494318, delta_loss = 0.31694043, learn_rate = 0.045840364
[DEBUG] 2019-04-20 15:55:03,188 -- CAMF_CU fold [4] iter 20: loss = 2.045751, delta_loss = 0.27912265, learn_rate = 0.048132382
[DEBUG] 2019-04-20 15:55:03,189 -- CAMF_CU fold [2] iter 20: loss = 1.7813199, delta_loss = 0.26811185, learn_rate = 0.048132382
[DEBUG] 2019-04-20 15:55:03,189 -- CAMF_CU fold [4] iter 21: loss = 1.8051414, delta_loss = 0.24060963, learn_rate = 0.050539
[DEBUG] 2019-04-20 15:55:03,190 -- CAMF_CU fold [2] iter 21: loss = 1.5538851, delta_loss = 0.22743475, learn_rate = 0.050539
[DEBUG] 2019-04-20 15:55:03,190 -- CAMF_CU fold [4] iter 22: loss = 1.5972611, delta_loss = 0.20788041, learn_rate = 0.053065952
[DEBUG] 2019-04-20 15:55:03,192 -- CAMF_CU fold [2] iter 22: loss = 1.360482, delta_loss = 0.1934031, learn_rate = 0.053065952
[DEBUG] 2019-04-20 15:55:03,192 -- CAMF_CU fold [4] iter 23: loss = 1.4173274, delta_loss = 0.1799336, learn_rate = 0.05571925
[DEBUG] 2019-04-20 15:55:03,193 -- CAMF_CU fold [5] iter 30: loss = 0.56800777, delta_loss = 0.058326885, learn_rate = 0.07840258
[DEBUG] 2019-04-20 15:55:03,196 -- CAMF_CU fold [4] iter 24: loss = 1.2613518, delta_loss = 0.15597565, learn_rate = 0.058505215
[DEBUG] 2019-04-20 15:55:03,196 -- CAMF_CU fold [4] iter 25: loss = 1.1259812, delta_loss = 0.13537058, learn_rate = 0.061430473
[DEBUG] 2019-04-20 15:55:03,198 -- CAMF_CU fold [4] iter 26: loss = 1.0083776, delta_loss = 0.11760362, learn_rate = 0.064502
[DEBUG] 2019-04-20 15:55:03,198 -- CAMF_CU fold [5] iter 31: loss = 0.5177589, delta_loss = 0.05024886, learn_rate = 0.08232271
[DEBUG] 2019-04-20 15:55:03,193 -- CAMF_CU fold [1] iter 29: loss = 0.6481257, delta_loss = 0.07198392, learn_rate = 0.07466912
[DEBUG] 2019-04-20 15:55:03,199 -- CAMF_CU fold [5] iter 32: loss = 0.4745574, delta_loss = 0.043201514, learn_rate = 0.08643884
[DEBUG] 2019-04-20 15:55:03,192 -- CAMF_CU fold [3] iter 18: loss = 2.4248781, delta_loss = 0.3670205, learn_rate = 0.04365749
[DEBUG] 2019-04-20 15:55:03,192 -- CAMF_CU fold [2] iter 23: loss = 1.1956435, delta_loss = 0.1648385, learn_rate = 0.05571925
[DEBUG] 2019-04-20 15:55:03,199 -- CAMF_CU fold [4] iter 27: loss = 0.9061232, delta_loss = 0.10225437, learn_rate = 0.0677271
[DEBUG] 2019-04-20 15:55:03,201 -- CAMF_CU fold [4] iter 28: loss = 0.817147, delta_loss = 0.088976175, learn_rate = 0.07111345
[DEBUG] 2019-04-20 15:55:03,201 -- CAMF_CU fold [2] iter 24: loss = 1.054846, delta_loss = 0.14079745, learn_rate = 0.058505215
[DEBUG] 2019-04-20 15:55:03,202 -- CAMF_CU fold [4] iter 29: loss = 0.7396667, delta_loss = 0.07748034, learn_rate = 0.07466912
[DEBUG] 2019-04-20 15:55:03,202 -- CAMF_CU fold [2] iter 25: loss = 0.93433344, delta_loss = 0.120512635, learn_rate = 0.061430473
[DEBUG] 2019-04-20 15:55:03,203 -- CAMF_CU fold [4] iter 30: loss = 0.6721429, delta_loss = 0.06752379, learn_rate = 0.07840258
[DEBUG] 2019-04-20 15:55:03,203 -- CAMF_CU fold [2] iter 26: loss = 0.8309792, delta_loss = 0.10335417, learn_rate = 0.064502
[DEBUG] 2019-04-20 15:55:03,205 -- CAMF_CU fold [2] iter 27: loss = 0.7421766, delta_loss = 0.08880268, learn_rate = 0.0677271
[DEBUG] 2019-04-20 15:55:03,206 -- CAMF_CU fold [2] iter 28: loss = 0.6657472, delta_loss = 0.07642937, learn_rate = 0.07111345
[DEBUG] 2019-04-20 15:55:03,206 -- CAMF_CU fold [3] iter 19: loss = 2.1157715, delta_loss = 0.3091066, learn_rate = 0.045840364
[DEBUG] 2019-04-20 15:55:03,206 -- CAMF_CU fold [4] iter 31: loss = 0.61324316, delta_loss = 0.058899745, learn_rate = 0.08232271
[DEBUG] 2019-04-20 15:55:03,207 -- CAMF_CU fold [2] iter 29: loss = 0.5998668, delta_loss = 0.06588038, learn_rate = 0.07466912
[DEBUG] 2019-04-20 15:55:03,208 -- CAMF_CU fold [4] iter 32: loss = 0.56181264, delta_loss = 0.05143052, learn_rate = 0.08643884
[DEBUG] 2019-04-20 15:55:03,208 -- CAMF_CU fold [3] iter 20: loss = 1.8544974, delta_loss = 0.26127404, learn_rate = 0.048132382
[DEBUG] 2019-04-20 15:55:03,209 -- CAMF_CU fold [2] iter 30: loss = 0.5430029, delta_loss = 0.05686391, learn_rate = 0.07840258
[DEBUG] 2019-04-20 15:55:03,209 -- CAMF_CU fold [4] iter 33: loss = 0.5168505, delta_loss = 0.044962145, learn_rate = 0.09076079
[DEBUG] 2019-04-20 15:55:03,210 -- CAMF_CU fold [2] iter 31: loss = 0.49386358, delta_loss = 0.049139336, learn_rate = 0.08232271
[DEBUG] 2019-04-20 15:55:03,210 -- CAMF_CU fold [3] iter 21: loss = 1.6328828, delta_loss = 0.22161461, learn_rate = 0.050539
[DEBUG] 2019-04-20 15:55:03,211 -- CAMF_CU fold [4] iter 34: loss = 0.4774902, delta_loss = 0.039360285, learn_rate = 0.09529883
[DEBUG] 2019-04-20 15:55:03,211 -- CAMF_CU fold [2] iter 32: loss = 0.45135564, delta_loss = 0.042507935, learn_rate = 0.08643884
[DEBUG] 2019-04-20 15:55:03,212 -- CAMF_CU fold [3] iter 22: loss = 1.4442334, delta_loss = 0.1886494, learn_rate = 0.053065952
[DEBUG] 2019-04-20 15:55:03,212 -- CAMF_CU fold [4] iter 35: loss = 0.44298303, delta_loss = 0.034507163, learn_rate = 0.10006377
[DEBUG] 2019-04-20 15:55:03,213 -- CAMF_CU fold [2] iter 33: loss = 0.41455066, delta_loss = 0.036804974, learn_rate = 0.09076079
[DEBUG] 2019-04-20 15:55:03,213 -- CAMF_CU fold [3] iter 23: loss = 1.2830324, delta_loss = 0.16120102, learn_rate = 0.05571925
[DEBUG] 2019-04-20 15:55:03,214 -- CAMF_CU fold [4] iter 36: loss = 0.41268378, delta_loss = 0.030299252, learn_rate = 0.105066955
