Final Results by CAMF_CI, Pre5: 0.008210,Pre10: 0.004105, Pre2: 0.020524, Rec5: 0.038778, Rec10: 0.038778, Rec2: 0.038778, AUC5: 0.520066, AUC10: 0.520066, AUC2: 0.520066, MAP5: 0.029491, MAP10: 0.029491, MAP2: 0.029491, NDCG5: 0.032399, NDCG10: 0.032399,NDCG2: 0.032399,MRR5: 0.031534, MRR10: 0.031534,MRR2: 0.031534, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.020333,Pre10: 0.020772, Rec5: 0.092649, Rec10: 0.188456, AUC5: 0.546033, AUC10: 0.583797, MAP5: 0.043611, MAP10: 0.055830,NDCG5: 0.056735, NDCG10: 0.087786,MRR5: 0.047512, MRR10: 0.060775, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.030062,Pre10: 0.030037, Rec5: 0.142162, Rec10: 0.291460, AUC5: 0.561977, AUC10: 0.607036, MAP5: 0.060107, MAP10: 0.080006,NDCG5: 0.081213, NDCG10: 0.129515,MRR5: 0.064211, MRR10: 0.084205, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.028699,Pre10: 0.032115, Rec5: 0.140248, Rec10: 0.311715, AUC5: 0.561828, AUC10: 0.611310, MAP5: 0.064580, MAP10: 0.086480,NDCG5: 0.083876, NDCG10: 0.138680,MRR5: 0.066638, MRR10: 0.089099, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.036893,Pre10: 0.031745, Rec5: 0.179720, Rec10: 0.307972, AUC5: 0.583390, AUC10: 0.621676, MAP5: 0.115205, MAP10: 0.131870,NDCG5: 0.131685, NDCG10: 0.173045,MRR5: 0.116478, MRR10: 0.133688, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.034399,Pre10: 0.036622, Rec5: 0.168654, Rec10: 0.352266, AUC5: 0.572354, AUC10: 0.627034, MAP5: 0.075913, MAP10: 0.100360,NDCG5: 0.098901, NDCG10: 0.158520,MRR5: 0.076641, MRR10: 0.101140, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.043332,Pre10: 0.037664, Rec5: 0.203919, Rec10: 0.355650, AUC5: 0.590971, AUC10: 0.635979, MAP5: 0.089720, MAP10: 0.108366,NDCG5: 0.119351, NDCG10: 0.167367,MRR5: 0.094952, MRR10: 0.114519, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.042719,Pre10: 0.038587, Rec5: 0.186972, Rec10: 0.346829, AUC5: 0.585675, AUC10: 0.631096, MAP5: 0.071892, MAP10: 0.092420,NDCG5: 0.103149, NDCG10: 0.154324,MRR5: 0.081918, MRR10: 0.102273, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.036233,Pre10: 0.038868, Rec5: 0.162938, Rec10: 0.346268, AUC5: 0.574430, AUC10: 0.628705, MAP5: 0.071773, MAP10: 0.095554,NDCG5: 0.096324, NDCG10: 0.156012,MRR5: 0.079619, MRR10: 0.104637, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.120667,Pre10: 0.110667, Rec5: 0.550000, Rec10: 1.000000, AUC5: 0.523611, AUC10: 0.496554, MAP5: 0.297778, MAP10: 0.361448,NDCG5: 0.362800, NDCG10: 0.511295,MRR5: 0.304444, MRR10: 0.361151, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.114667,Pre10: 0.110667, Rec5: 0.520000, Rec10: 1.000000, AUC5: 0.505833, AUC10: 0.469888, MAP5: 0.260278, MAP10: 0.329163,NDCG5: 0.327125, NDCG10: 0.486157,MRR5: 0.267778, MRR10: 0.328746, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.114667,Pre10: 0.110667, Rec5: 0.536667, Rec10: 1.000000, AUC5: 0.480000, AUC10: 0.478929, MAP5: 0.258556, MAP10: 0.328340,NDCG5: 0.329951, NDCG10: 0.485620,MRR5: 0.267722, MRR10: 0.324987, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.127333,Pre10: 0.110667, Rec5: 0.583333, Rec10: 1.000000, AUC5: 0.531667, AUC10: 0.538849, MAP5: 0.343278, MAP10: 0.407074,NDCG5: 0.404124, NDCG10: 0.545943,MRR5: 0.347444, MRR10: 0.403251, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.111333,Pre10: 0.110667, Rec5: 0.520000, Rec10: 1.000000, AUC5: 0.519167, AUC10: 0.467526, MAP5: 0.255389, MAP10: 0.324194,NDCG5: 0.324929, NDCG10: 0.483113,MRR5: 0.266222, MRR10: 0.323222, numFactors: 10, numIter: 500, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.108000,Pre10: 0.110667, Rec5: 0.486667, Rec10: 1.000000, AUC5: 0.575278, AUC10: 0.482844, MAP5: 0.287222, MAP10: 0.360294,NDCG5: 0.339841, NDCG10: 0.510113,MRR5: 0.291111, MRR10: 0.358230, numFactors: 15, numIter: 500, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.103333,Pre10: 0.110667, Rec5: 0.463333, Rec10: 1.000000, AUC5: 0.568889, AUC10: 0.455251, MAP5: 0.268333, MAP10: 0.342311,NDCG5: 0.319516, NDCG10: 0.494822,MRR5: 0.272222, MRR10: 0.339235, numFactors: 8, numIter: 500, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.111333,Pre10: 0.110667, Rec5: 0.503333, Rec10: 1.000000, AUC5: 0.625833, AUC10: 0.520271, MAP5: 0.321667, MAP10: 0.393620,NDCG5: 0.371829, NDCG10: 0.536947,MRR5: 0.331667, MRR10: 0.395333, numFactors: 8, numIter: 500, lrate: 0.002, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.098000,Pre10: 0.110667, Rec5: 0.453333, Rec10: 1.000000, AUC5: 0.560000, AUC10: 0.482817, MAP5: 0.273611, MAP10: 0.356702,NDCG5: 0.322182, NDCG10: 0.506638,MRR5: 0.281944, MRR10: 0.351563, numFactors: 8, numIter: 500, lrate: 0.2, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.118000,Pre10: 0.110667, Rec5: 0.553333, Rec10: 1.000000, AUC5: 0.495833, AUC10: 0.491038, MAP5: 0.260278, MAP10: 0.327106,NDCG5: 0.336758, NDCG10: 0.486426,MRR5: 0.275278, MRR10: 0.329884, numFactors: 8, numIter: 500, lrate: 0.04, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.106667,Pre10: 0.110667, Rec5: 0.496667, Rec10: 1.000000, AUC5: 0.523333, AUC10: 0.474425, MAP5: 0.261944, MAP10: 0.337820,NDCG5: 0.324376, NDCG10: 0.493494,MRR5: 0.277500, MRR10: 0.340201, numFactors: 8, numIter: 500, lrate: 0.04, maxlrate: -1.0, regB: 0.001, regU: 0.01, regI: 0.001, regC: 0.001, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.100667,Pre10: 0.110667, Rec5: 0.450000, Rec10: 1.000000, AUC5: 0.512778, AUC10: 0.439630, MAP5: 0.232611, MAP10: 0.310091,NDCG5: 0.289379, NDCG10: 0.470519,MRR5: 0.242167, MRR10: 0.312312, numFactors: 8, numIter: 500, lrate: 0.04, maxlrate: -1.0, regB: 1.0, regU: 0.01, regI: 1.0, regC: 1.0, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.118000,Pre10: 0.110667, Rec5: 0.536667, Rec10: 1.000000, AUC5: 0.495000, AUC10: 0.472963, MAP5: 0.276167, MAP10: 0.341288,NDCG5: 0.344112, NDCG10: 0.496959,MRR5: 0.291167, MRR10: 0.350336, numFactors: 8, numIter: 500, lrate: 0.04, maxlrate: -1.0, regB: 0.1, regU: 0.1, regI: 0.1, regC: 0.1, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.111333,Pre10: 0.110667, Rec5: 0.500000, Rec10: 1.000000, AUC5: 0.513333, AUC10: 0.496144, MAP5: 0.241722, MAP10: 0.317935,NDCG5: 0.308745, NDCG10: 0.479093,MRR5: 0.248722, MRR10: 0.318130, numFactors: 8, numIter: 500, lrate: 0.04, maxlrate: -1.0, regB: 1.0E-5, regU: 1.0E-4, regI: 1.0E-5, regC: 1.0E-5, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.114667,Pre10: 0.110667, Rec5: 0.520000, Rec10: 1.000000, AUC5: 0.511389, AUC10: 0.467255, MAP5: 0.253556, MAP10: 0.320787,NDCG5: 0.322389, NDCG10: 0.480446,MRR5: 0.259111, MRR10: 0.320390, numFactors: 8, numIter: 500, lrate: 0.03, maxlrate: -1.0, regB: 1.0E-5, regU: 1.0E-4, regI: 1.0E-5, regC: 1.0E-5, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.118000,Pre10: 0.110667, Rec5: 0.536667, Rec10: 1.000000, AUC5: 0.513056, AUC10: 0.470000, MAP5: 0.270000, MAP10: 0.333644,NDCG5: 0.338528, NDCG10: 0.489648,MRR5: 0.275556, MRR10: 0.332533, numFactors: 8, numIter: 500, lrate: 0.03, maxlrate: -1.0, regB: 1.0E-5, regU: 1.0E-4, regI: 1.0E-5, regC: 1.0E-5, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.130667,Pre10: 0.110667, Rec5: 0.580000, Rec10: 1.000000, AUC5: 0.480833, AUC10: 0.484921, MAP5: 0.242222, MAP10: 0.298925,NDCG5: 0.327087, NDCG10: 0.464245,MRR5: 0.242222, MRR10: 0.297675, numFactors: 8, numIter: 500, lrate: 0.03, maxlrate: -1.0, regB: 1.0E-5, regU: 1.0E-4, regI: 1.0E-5, regC: 1.0E-5, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.220000,Pre10: 0.110000, Rec5: 1.000000, Rec10: 1.000000, AUC5: 0.552500, AUC10: 0.552500, MAP5: 0.743333, MAP10: 0.743333,NDCG5: 0.813285, NDCG10: 0.813285,MRR5: 0.751667, MRR10: 0.751667, numFactors: 8, numIter: 500, lrate: 0.03, maxlrate: -1.0, regB: 1.0E-5, regU: 1.0E-4, regI: 1.0E-5, regC: 1.0E-5, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.220000,Pre10: 0.110000, Rec5: 1.000000, Rec10: 1.000000, AUC5: 0.622500, AUC10: 0.622500, MAP5: 0.788333, MAP10: 0.788333,NDCG5: 0.846502, NDCG10: 0.846502,MRR5: 0.796667, MRR10: 0.796667, numFactors: 8, numIter: 500, lrate: 0.03, maxlrate: -1.0, regB: 1.0E-5, regU: 1.0E-4, regI: 1.0E-5, regC: 1.0E-5, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.102078,Pre10: 0.098955, Rec5: 0.237431, Rec10: 0.459766, AUC5: 0.626806, AUC10: 0.674426, MAP5: 0.114238, MAP10: 0.153920,NDCG5: 0.171400, NDCG10: 0.258904,MRR5: 0.209626, MRR10: 0.244042, numFactors: 8, numIter: 500, lrate: 0.03, maxlrate: -1.0, regB: 1.0E-5, regU: 1.0E-4, regI: 1.0E-5, regC: 1.0E-5, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CI, Pre5: 0.029694,Pre10: 0.035246, Rec5: 0.126567, Rec10: 0.315060, AUC5: 0.556011, AUC10: 0.606597, MAP5: 0.053090, MAP10: 0.077972,NDCG5: 0.072770, NDCG10: 0.134015,MRR5: 0.057830, MRR10: 0.082977, numFactors: 8, numIter: 500, lrate: 0.03, maxlrate: -1.0, regB: 1.0E-5, regU: 1.0E-4, regI: 1.0E-5, regC: 1.0E-5, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.038528,Pre10: 0.035304, Rec5: 0.176706, Rec10: 0.318644, AUC5: 0.575625, AUC10: 0.616867, MAP5: 0.072256, MAP10: 0.091499,NDCG5: 0.099554, NDCG10: 0.146425,MRR5: 0.077950, MRR10: 0.097729, numFactors: 8, numIter: 500, lrate: 0.03, maxlrate: -1.0, regB: 1.0E-5, regU: 1.0E-5, regI: 1.0E-4, regC: 1.0E-5, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.037540,Pre10: 0.033595, Rec5: 0.170595, Rec10: 0.296918, AUC5: 0.572488, AUC10: 0.609331, MAP5: 0.066286, MAP10: 0.083156,NDCG5: 0.093644, NDCG10: 0.135420,MRR5: 0.073247, MRR10: 0.091049, numFactors: 8, numIter: 500, lrate: 0.001, maxlrate: -1.0, regB: 1.0E-5, regU: 1.0E-5, regI: 1.0E-4, regC: 1.0E-5, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.036627,Pre10: 0.036444, Rec5: 0.156925, Rec10: 0.325595, AUC5: 0.568140, AUC10: 0.615984, MAP5: 0.071586, MAP10: 0.094439,NDCG5: 0.094547, NDCG10: 0.149939,MRR5: 0.078294, MRR10: 0.101551, numFactors: 8, numIter: 500, lrate: 0.08, maxlrate: -1.0, regB: 1.0E-5, regU: 1.0E-5, regI: 1.0E-4, regC: 1.0E-5, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.035183,Pre10: 0.034123, Rec5: 0.155615, Rec10: 0.308988, AUC5: 0.571143, AUC10: 0.611071, MAP5: 0.066018, MAP10: 0.085852,NDCG5: 0.090579, NDCG10: 0.139790,MRR5: 0.073463, MRR10: 0.093058, numFactors: 8, numIter: 500, lrate: 0.1, maxlrate: -1.0, regB: 1.0E-5, regU: 1.0E-5, regI: 1.0E-4, regC: 1.0E-5, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.030778,Pre10: 0.036196, Rec5: 0.137976, Rec10: 0.321124, AUC5: 0.561883, AUC10: 0.609383, MAP5: 0.068528, MAP10: 0.092146,NDCG5: 0.087217, NDCG10: 0.146462,MRR5: 0.073339, MRR10: 0.097345, numFactors: 8, numIter: 500, lrate: 0.3, maxlrate: -1.0, regB: 1.0E-5, regU: 1.0E-5, regI: 1.0E-4, regC: 1.0E-5, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.040266,Pre10: 0.036575, Rec5: 0.179378, Rec10: 0.333247, AUC5: 0.578734, AUC10: 0.621153, MAP5: 0.078670, MAP10: 0.099225,NDCG5: 0.105578, NDCG10: 0.155632,MRR5: 0.085983, MRR10: 0.106415, numFactors: 8, numIter: 500, lrate: 0.5, maxlrate: -1.0, regB: 0.1, regU: 0.1, regI: 0.1, regC: 0.1, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: NaN,Pre10: NaN, Rec5: NaN, Rec10: NaN, AUC5: NaN, AUC10: NaN, MAP5: NaN, MAP10: NaN,NDCG5: NaN, NDCG10: NaN,MRR5: NaN, MRR10: NaN, numFactors: 8, numIter: 500, lrate: 0.5, maxlrate: -1.0, regB: 0.01, regU: 0.01, regI: 0.01, regC: 0.01, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.035036,Pre10: 0.035587, Rec5: 0.153909, Rec10: 0.320754, AUC5: 0.569820, AUC10: 0.613463, MAP5: 0.080363, MAP10: 0.102215,NDCG5: 0.100174, NDCG10: 0.154178,MRR5: 0.084960, MRR10: 0.107057, numFactors: 8, numIter: 500, lrate: 0.05, maxlrate: -1.0, regB: 0.01, regU: 0.01, regI: 0.01, regC: 0.01, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.038349,Pre10: 0.036569, Rec5: 0.167004, Rec10: 0.323790, AUC5: 0.574950, AUC10: 0.617119, MAP5: 0.075996, MAP10: 0.096615,NDCG5: 0.100825, NDCG10: 0.151726,MRR5: 0.083579, MRR10: 0.104115, numFactors: 10, numIter: 500, lrate: 0.05, maxlrate: -1.0, regB: 0.01, regU: 0.01, regI: 0.01, regC: 0.01, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.035588,Pre10: 0.031587, Rec5: 0.161780, Rec10: 0.293838, AUC5: 0.570026, AUC10: 0.606683, MAP5: 0.077908, MAP10: 0.096341,NDCG5: 0.099712, NDCG10: 0.143179,MRR5: 0.081513, MRR10: 0.099294, numFactors: 10, numIter: 500, lrate: 0.05, maxlrate: -1.0, regB: 0.01, regU: 0.01, regI: 0.01, regC: 0.01, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CI, Pre5: 0.034280,Pre10: 0.032129, Rec5: 0.158460, Rec10: 0.302664, AUC5: 0.567905, AUC10: 0.605006, MAP5: 0.066749, MAP10: 0.085978,NDCG5: 0.090661, NDCG10: 0.136962,MRR5: 0.072131, MRR10: 0.089886, numFactors: 10, numIter: 500, lrate: 0.01, maxlrate: -1.0, regB: 0.01, regU: 0.01, regI: 0.01, regC: 0.01, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: NaN,Pre10: NaN, Rec5: NaN, Rec10: NaN, AUC5: NaN, AUC10: NaN, MAP5: NaN, MAP10: NaN,NDCG5: NaN, NDCG10: NaN,MRR5: NaN, MRR10: NaN, numFactors: 10, numIter: 500, lrate: 1.0, maxlrate: -1.0, regB: 0.01, regU: 0.01, regI: 0.01, regC: 0.01, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.033818,Pre10: 0.032784, Rec5: 0.162020, Rec10: 0.311679, AUC5: 0.569269, AUC10: 0.610083, MAP5: 0.075724, MAP10: 0.095898,NDCG5: 0.097671, NDCG10: 0.146480,MRR5: 0.078009, MRR10: 0.098100, numFactors: 10, numIter: 500, lrate: 0.1, maxlrate: -1.0, regB: 0.01, regU: 0.01, regI: 0.01, regC: 0.01, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.033288,Pre10: 0.033774, Rec5: 0.157285, Rec10: 0.314287, AUC5: 0.568081, AUC10: 0.609395, MAP5: 0.075917, MAP10: 0.097474,NDCG5: 0.096915, NDCG10: 0.148211,MRR5: 0.079654, MRR10: 0.099813, numFactors: 10, numIter: 500, lrate: 1.0E-6, maxlrate: -1.0, regB: 0.01, regU: 0.01, regI: 0.01, regC: 0.01, isBoldDriver: true, Time: '00:00','00:00'
