User, Item, Rating, partner:5, partner:1, partner:4, partner:6, partner:3, partner:2, time:2, time:1, time:4, time:3
12,14,5,0,1,0,0,0,0,0,0,0,1
20,7,5,0,1,0,0,0,0,1,0,0,0
3,26,5,0,0,0,1,0,0,0,0,0,1
3,15,3,0,0,0,1,0,0,0,0,0,1
6,5,5,0,1,0,0,0,0,0,0,0,1
14,31,4,0,0,0,1,0,0,0,1,0,0
13,3,3,0,0,0,1,0,0,0,0,0,1
14,32,5,1,0,0,0,0,0,1,0,0,0
17,18,3,1,0,0,0,0,0,1,0,0,0
14,29,5,0,0,1,0,0,0,0,1,0,0
12,11,5,0,0,1,0,0,0,1,0,0,0
6,29,5,0,0,1,0,0,0,0,0,1,0
14,18,3,0,0,0,0,1,0,0,0,0,1
7,3,5,0,0,0,0,0,1,0,1,0,0
14,30,5,0,1,0,0,0,0,0,1,0,0
17,28,4,1,0,0,0,0,0,0,0,0,1
6,8,5,0,0,1,0,0,0,0,1,0,0
1,10,4,1,0,0,0,0,0,0,0,1,0
11,24,5,0,0,0,0,1,0,0,0,0,1
5,28,5,0,1,0,0,0,0,0,1,0,0
5,28,5,0,1,0,0,0,0,1,0,0,0
15,15,5,0,0,1,0,0,0,1,0,0,0
2,1,3,0,0,0,0,1,0,0,0,1,0
5,28,5,0,1,0,0,0,0,0,0,1,0
5,29,3,1,0,0,0,0,0,0,0,1,0
3,22,5,0,0,0,0,0,1,0,0,1,0
7,20,4,1,0,0,0,0,0,0,0,1,0
1,13,4,0,0,0,0,1,0,0,1,0,0
9,19,5,0,0,0,0,0,1,0,0,0,1
13,4,3,0,0,0,1,0,0,0,1,0,0
3,23,5,0,0,0,0,1,0,1,0,0,0
9,13,5,0,0,0,0,0,1,0,0,1,0
12,22,5,0,0,1,0,0,0,0,1,0,0
17,29,4,0,0,0,1,0,0,1,0,0,0
3,16,5,0,0,0,0,0,1,0,1,0,0
6,25,5,0,1,0,0,0,0,0,0,0,1
11,4,5,0,0,1,0,0,0,0,0,1,0
14,26,3,1,0,0,0,0,0,0,1,0,0
1,25,5,1,0,0,0,0,0,0,0,0,1
7,4,3,0,0,0,1,0,0,0,0,1,0
6,28,5,0,0,0,0,1,0,1,0,0,0
18,10,4,0,0,0,0,1,0,0,0,0,1
12,4,5,0,1,0,0,0,0,0,1,0,0
1,4,4,1,0,0,0,0,0,0,0,1,0
12,4,5,0,1,0,0,0,0,1,0,0,0
9,18,4,0,0,0,1,0,0,0,1,0,0
17,21,3,0,0,1,0,0,0,0,1,0,0
18,10,3,0,0,0,1,0,0,0,1,0,0
14,8,4,0,0,0,0,1,0,0,1,0,0
9,27,5,0,0,0,1,0,0,0,0,0,1
13,8,5,0,0,0,0,0,1,0,0,0,1
1,11,4,1,0,0,0,0,0,0,0,1,0
3,24,4,0,0,1,0,0,0,0,1,0,0
11,31,5,0,0,1,0,0,0,0,1,0,0
12,15,5,1,0,0,0,0,0,1,0,0,0
14,20,4,0,0,0,0,0,1,0,0,1,0
6,33,5,0,0,0,1,0,0,1,0,0,0
4,20,5,0,0,1,0,0,0,0,1,0,0
6,30,4,0,0,1,0,0,0,0,0,1,0
7,4,4,0,0,0,0,1,0,0,0,0,1
17,25,5,1,0,0,0,0,0,0,0,0,1
4,16,4,0,0,0,1,0,0,0,1,0,0
3,32,4,0,0,0,1,0,0,0,0,1,0
18,5,4,0,0,0,0,1,0,0,0,0,1
1,1,4,0,1,0,0,0,0,0,0,1,0
3,23,4,0,0,0,0,0,1,0,1,0,0
6,4,5,0,0,0,0,0,1,0,1,0,0
7,4,3,1,0,0,0,0,0,0,1,0,0
14,9,4,0,1,0,0,0,0,0,1,0,0
1,17,4,0,0,0,1,0,0,1,0,0,0
20,4,4,0,1,0,0,0,0,1,0,0,0
1,6,4,0,0,1,0,0,0,0,1,0,0
5,33,4,0,0,0,0,0,1,0,0,0,1
11,27,5,0,0,1,0,0,0,0,0,1,0
5,28,3,0,0,0,0,0,1,0,0,1,0
6,25,5,0,0,0,0,0,1,0,0,0,1
11,29,4,1,0,0,0,0,0,1,0,0,0
18,5,5,0,1,0,0,0,0,0,1,0,0
11,11,3,0,1,0,0,0,0,0,0,1,0
3,15,4,0,0,0,0,0,1,0,0,1,0
3,8,3,0,0,0,0,1,0,0,0,0,1
19,31,3,0,0,0,0,0,1,0,0,0,1
9,23,3,0,0,0,1,0,0,0,0,0,1
19,7,5,0,1,0,0,0,0,0,0,0,1
4,11,5,0,0,0,0,0,1,0,0,0,1
11,29,5,0,0,1,0,0,0,0,1,0,0
12,4,5,0,0,0,0,0,1,1,0,0,0
13,6,5,0,0,0,0,0,1,0,1,0,0
1,20,4,1,0,0,0,0,0,1,0,0,0
16,30,3,0,0,0,0,0,1,1,0,0,0
17,26,5,0,0,1,0,0,0,1,0,0,0
6,21,4,0,0,0,0,1,0,1,0,0,0
17,33,5,0,0,0,1,0,0,0,0,1,0
19,6,4,0,0,0,0,0,1,0,0,1,0
4,13,4,1,0,0,0,0,0,0,0,1,0
12,14,4,0,0,0,1,0,0,0,1,0,0
18,12,5,1,0,0,0,0,0,0,0,1,0
12,11,3,0,0,0,1,0,0,0,0,1,0
18,8,5,0,0,1,0,0,0,0,1,0,0
9,25,4,0,0,0,1,0,0,0,0,0,1
6,21,5,0,1,0,0,0,0,1,0,0,0
18,20,5,0,0,0,1,0,0,0,0,0,1
19,29,5,0,1,0,0,0,0,1,0,0,0
7,3,3,0,0,0,0,1,0,0,0,1,0
14,25,5,0,0,0,0,1,0,0,0,1,0
14,25,5,0,0,0,0,1,0,1,0,0,0
8,33,3,0,0,1,0,0,0,0,0,1,0
7,3,3,0,0,0,0,1,0,0,1,0,0
4,15,5,1,0,0,0,0,0,1,0,0,0
12,6,4,0,0,0,1,0,0,0,0,1,0
15,14,5,1,0,0,0,0,0,0,1,0,0
14,17,5,0,1,0,0,0,0,1,0,0,0
19,8,5,0,1,0,0,0,0,0,0,1,0
5,33,4,0,1,0,0,0,0,0,1,0,0
8,12,4,0,0,1,0,0,0,1,0,0,0
6,29,5,0,1,0,0,0,0,0,0,0,1
19,26,2,0,0,0,0,0,1,0,0,0,1
17,29,5,0,1,0,0,0,0,0,1,0,0
15,6,4,0,1,0,0,0,0,0,1,0,0
9,28,4,0,0,1,0,0,0,0,0,1,0
14,6,5,0,0,1,0,0,0,1,0,0,0
2,12,3,0,0,0,0,0,1,1,0,0,0
18,19,3,1,0,0,0,0,0,1,0,0,0
5,3,4,0,1,0,0,0,0,0,1,0,0
8,12,5,0,0,0,0,0,1,0,1,0,0
9,17,5,0,0,1,0,0,0,0,0,1,0
9,17,5,0,0,1,0,0,0,1,0,0,0
20,18,5,0,0,1,0,0,0,0,0,0,1
20,30,3,1,0,0,0,0,0,1,0,0,0
9,9,5,0,0,0,0,1,0,1,0,0,0
13,27,5,0,1,0,0,0,0,0,0,1,0
9,28,4,0,0,1,0,0,0,0,1,0,0
18,8,4,1,0,0,0,0,0,0,0,0,1
9,15,3,0,0,0,1,0,0,0,0,0,1
12,22,4,0,1,0,0,0,0,0,0,1,0
3,27,5,0,0,1,0,0,0,1,0,0,0
3,14,4,0,0,0,1,0,0,0,0,1,0
11,28,4,0,0,0,1,0,0,0,1,0,0
6,9,5,0,0,0,0,1,0,1,0,0,0
16,11,4,0,1,0,0,0,0,1,0,0,0
1,29,4,0,0,0,0,0,1,0,1,0,0
15,12,5,1,0,0,0,0,0,0,1,0,0
19,5,3,0,0,0,1,0,0,0,1,0,0
15,10,5,0,1,0,0,0,0,0,1,0,0
3,25,5,0,1,0,0,0,0,0,0,0,1
7,24,5,1,0,0,0,0,0,0,0,1,0
11,2,3,0,1,0,0,0,0,0,0,1,0
15,31,4,0,0,0,1,0,0,0,0,1,0
5,7,5,1,0,0,0,0,0,1,0,0,0
16,21,3,0,0,0,1,0,0,0,1,0,0
12,3,4,0,0,0,0,1,0,1,0,0,0
7,9,3,0,0,0,0,0,1,0,0,0,1
1,32,4,1,0,0,0,0,0,0,1,0,0
10,28,5,0,1,0,0,0,0,1,0,0,0
2,11,4,0,0,0,1,0,0,0,1,0,0
5,15,5,1,0,0,0,0,0,0,0,1,0
8,5,4,0,0,0,1,0,0,0,0,1,0
13,30,5,0,0,1,0,0,0,0,0,1,0
13,14,4,0,0,0,0,0,1,0,0,0,1
19,31,5,0,1,0,0,0,0,0,1,0,0
5,3,4,0,0,0,0,0,1,1,0,0,0
11,18,4,0,1,0,0,0,0,1,0,0,0
14,28,4,0,1,0,0,0,0,0,1,0,0
5,8,4,0,1,0,0,0,0,0,0,0,1
15,8,4,1,0,0,0,0,0,0,1,0,0
10,2,5,0,1,0,0,0,0,0,0,0,1
20,27,3,0,0,0,0,0,1,0,0,0,1
20,22,3,0,0,0,0,1,0,0,0,1,0
4,26,3,0,0,0,0,0,1,0,0,1,0
18,27,5,0,1,0,0,0,0,0,0,1,0
9,10,4,0,0,0,1,0,0,0,1,0,0
1,22,4,0,1,0,0,0,0,0,0,0,1
19,15,3,0,1,0,0,0,0,0,1,0,0
1,24,4,0,0,0,0,0,1,0,1,0,0
5,3,3,0,0,0,0,1,0,0,0,1,0
18,8,5,0,0,0,0,0,1,0,1,0,0
8,17,3,0,0,0,1,0,0,0,1,0,0
19,31,4,0,0,0,0,1,0,0,0,0,1
16,5,5,0,0,0,0,0,1,1,0,0,0
7,31,4,0,1,0,0,0,0,1,0,0,0
19,5,4,0,0,0,0,1,0,0,0,1,0
6,13,5,1,0,0,0,0,0,1,0,0,0
3,4,5,0,0,0,0,0,1,1,0,0,0
18,25,4,0,1,0,0,0,0,0,1,0,0
14,31,3,0,0,0,0,0,1,1,0,0,0
11,6,5,1,0,0,0,0,0,1,0,0,0
8,20,4,0,0,0,0,1,0,0,0,1,0
5,7,4,1,0,0,0,0,0,0,1,0,0
9,16,3,0,1,0,0,0,0,1,0,0,0
8,1,4,0,1,0,0,0,0,0,1,0,0
19,23,5,0,1,0,0,0,0,0,0,1,0
20,29,5,0,0,0,0,1,0,0,0,1,0
13,2,5,0,1,0,0,0,0,0,0,0,1
11,21,4,0,0,0,1,0,0,0,0,0,1
11,8,5,0,0,1,0,0,0,0,1,0,0
5,32,5,0,0,0,0,0,1,1,0,0,0
15,25,5,0,0,0,0,1,0,1,0,0,0
17,27,3,1,0,0,0,0,0,0,1,0,0
6,1,5,1,0,0,0,0,0,0,0,0,1
7,14,4,0,0,0,0,0,1,0,0,1,0
14,10,4,0,0,0,0,1,0,0,0,1,0
11,28,5,0,1,0,0,0,0,1,0,0,0
18,14,4,0,0,0,0,0,1,1,0,0,0
12,16,3,0,0,0,1,0,0,1,0,0,0
9,9,4,0,0,1,0,0,0,0,0,1,0
5,13,4,0,0,0,1,0,0,0,1,0,0
4,19,4,0,0,0,1,0,0,1,0,0,0
3,1,5,1,0,0,0,0,0,0,0,0,1
9,20,5,0,0,1,0,0,0,1,0,0,0
4,9,4,0,1,0,0,0,0,0,0,0,1
9,10,5,0,1,0,0,0,0,0,1,0,0
8,19,5,0,1,0,0,0,0,0,0,0,1
12,16,4,0,0,1,0,0,0,1,0,0,0
2,30,3,1,0,0,0,0,0,0,0,1,0
5,18,3,0,0,0,0,1,0,0,0,0,1
11,15,5,0,0,0,0,0,1,1,0,0,0
6,7,4,0,0,1,0,0,0,0,1,0,0
17,19,4,0,0,0,0,0,1,1,0,0,0
17,29,4,1,0,0,0,0,0,0,1,0,0
5,7,5,0,0,0,0,1,0,0,1,0,0
16,2,5,0,0,0,0,1,0,1,0,0,0
3,28,3,0,0,0,0,1,0,0,0,1,0
4,9,3,0,0,1,0,0,0,1,0,0,0
19,25,5,0,0,0,0,1,0,1,0,0,0
20,11,4,0,0,0,0,1,0,0,0,0,1
13,29,4,1,0,0,0,0,0,0,0,1,0
3,9,4,1,0,0,0,0,0,1,0,0,0
10,10,5,0,0,0,0,0,1,0,1,0,0
13,19,3,1,0,0,0,0,0,1,0,0,0
12,18,5,0,0,0,0,0,1,0,1,0,0
15,25,4,0,0,0,1,0,0,0,1,0,0
16,4,5,0,0,1,0,0,0,0,0,1,0
15,21,4,0,0,1,0,0,0,1,0,0,0
5,22,3,0,0,0,0,1,0,0,0,0,1
17,13,4,0,0,0,1,0,0,1,0,0,0
20,16,4,0,0,0,1,0,0,0,1,0,0
4,1,5,0,0,1,0,0,0,0,1,0,0
15,13,3,0,0,0,0,1,0,1,0,0,0
9,28,4,0,0,0,0,1,0,0,0,0,1
8,5,3,0,0,0,1,0,0,0,1,0,0
11,21,5,0,0,0,0,1,0,1,0,0,0
3,26,3,0,0,0,0,0,1,0,0,1,0
3,14,4,1,0,0,0,0,0,0,0,1,0
10,4,4,0,0,0,1,0,0,1,0,0,0
5,10,5,0,0,1,0,0,0,0,0,0,1
14,25,4,0,1,0,0,0,0,0,0,1,0
16,24,5,0,1,0,0,0,0,0,0,0,1
7,12,4,0,0,0,0,0,1,1,0,0,0
17,30,3,0,0,0,0,1,0,0,0,0,1
18,3,5,1,0,0,0,0,0,0,1,0,0
17,15,5,1,0,0,0,0,0,0,0,0,1
20,30,3,0,0,0,0,0,1,1,0,0,0
8,31,5,0,0,0,0,1,0,0,1,0,0
8,5,5,0,0,0,0,0,1,0,0,1,0
6,9,4,0,0,1,0,0,0,1,0,0,0
7,16,4,0,0,1,0,0,0,0,1,0,0
12,12,3,0,0,0,0,0,1,1,0,0,0
4,25,5,0,0,1,0,0,0,1,0,0,0
2,8,3,0,1,0,0,0,0,1,0,0,0
9,7,4,0,0,0,0,0,1,0,0,1,0
2,15,3,0,1,0,0,0,0,0,1,0,0
14,26,3,0,0,0,0,1,0,1,0,0,0
12,21,5,0,1,0,0,0,0,0,0,0,1
3,10,4,0,0,0,0,0,1,0,0,1,0
16,2,5,0,0,0,0,0,1,1,0,0,0
10,6,5,0,0,0,1,0,0,0,0,0,1
10,15,5,0,0,1,0,0,0,0,1,0,0
19,4,4,0,0,0,1,0,0,0,0,0,1
10,6,5,0,0,1,0,0,0,0,1,0,0
18,9,4,0,0,0,0,0,1,0,1,0,0
1,28,4,1,0,0,0,0,0,0,0,1,0
10,4,5,0,1,0,0,0,0,0,1,0,0
10,4,5,0,1,0,0,0,0,1,0,0,0
12,28,5,0,0,0,0,1,0,0,1,0,0
1,32,3,0,0,0,0,1,0,0,0,1,0
12,32,3,0,0,0,0,1,0,0,0,1,0
17,3,3,0,1,0,0,0,0,0,0,1,0
9,6,5,0,0,0,0,1,0,0,0,1,0
13,12,5,0,0,0,0,0,1,0,0,0,1
7,18,4,1,0,0,0,0,0,0,0,0,1
2,20,4,1,0,0,0,0,0,0,0,1,0
16,11,4,1,0,0,0,0,0,0,0,1,0
19,13,4,0,1,0,0,0,0,1,0,0,0
18,32,5,0,0,0,0,0,1,0,1,0,0
19,13,4,0,1,0,0,0,0,0,0,0,1
12,19,3,1,0,0,0,0,0,0,1,0,0
13,16,4,0,0,0,0,0,1,0,0,0,1
13,18,4,1,0,0,0,0,0,1,0,0,0
12,26,3,1,0,0,0,0,0,0,1,0,0
18,29,4,0,0,0,0,0,1,0,1,0,0
13,18,4,1,0,0,0,0,0,0,0,1,0
18,1,5,1,0,0,0,0,0,0,1,0,0
18,27,5,0,0,0,1,0,0,0,0,1,0
15,4,3,1,0,0,0,0,0,1,0,0,0
4,19,5,0,0,0,0,0,1,0,0,0,1
12,9,4,0,1,0,0,0,0,0,0,1,0
2,13,4,1,0,0,0,0,0,0,0,1,0
19,31,4,0,0,0,1,0,0,0,0,0,1
3,2,5,0,0,1,0,0,0,0,1,0,0
17,11,5,1,0,0,0,0,0,0,1,0,0
7,32,4,1,0,0,0,0,0,1,0,0,0
16,32,5,0,0,1,0,0,0,0,0,0,1
7,17,4,0,0,1,0,0,0,0,0,0,1
4,25,5,0,1,0,0,0,0,0,0,0,1
6,9,4,0,1,0,0,0,0,0,1,0,0
1,1,5,1,0,0,0,0,0,0,1,0,0
19,12,4,0,1,0,0,0,0,0,0,1,0
16,25,5,1,0,0,0,0,0,0,0,0,1
19,25,5,1,0,0,0,0,0,1,0,0,0
20,2,4,1,0,0,0,0,0,0,0,0,1
2,20,5,0,0,1,0,0,0,0,0,1,0
18,25,4,0,0,0,1,0,0,0,0,0,1
2,30,5,0,0,0,1,0,0,1,0,0,0
10,5,4,0,0,0,1,0,0,1,0,0,0
16,23,5,0,0,0,0,0,1,0,0,0,1
20,18,3,0,0,0,0,1,0,0,1,0,0
5,11,3,0,0,0,1,0,0,0,0,1,0
19,23,5,0,0,1,0,0,0,0,1,0,0
9,6,5,0,0,0,0,0,1,1,0,0,0
15,1,3,0,1,0,0,0,0,0,1,0,0
16,17,5,0,0,0,0,0,1,0,1,0,0
5,17,5,0,0,0,0,0,1,1,0,0,0
9,3,3,0,0,1,0,0,0,0,0,1,0
1,19,5,0,1,0,0,0,0,1,0,0,0
5,7,3,0,0,0,1,0,0,0,0,1,0
11,7,4,0,0,1,0,0,0,1,0,0,0
10,16,3,0,0,0,0,1,0,0,0,1,0
19,16,5,0,0,0,0,0,1,0,0,0,1
13,24,5,0,0,0,0,0,1,1,0,0,0
14,10,4,0,0,1,0,0,0,0,0,1,0
1,26,3,1,0,0,0,0,0,0,1,0,0
4,4,5,0,0,0,0,1,0,1,0,0,0
15,17,5,0,1,0,0,0,0,0,0,0,1
20,6,5,0,0,0,1,0,0,0,0,0,1
10,21,4,0,0,0,1,0,0,1,0,0,0
16,16,5,0,0,0,0,0,1,1,0,0,0
19,21,4,0,0,1,0,0,0,0,0,1,0
2,18,4,0,0,0,0,1,0,1,0,0,0
3,20,5,1,0,0,0,0,0,0,0,1,0
8,11,4,1,0,0,0,0,0,1,0,0,0
16,4,3,0,1,0,0,0,0,0,0,1,0
8,22,3,0,0,0,1,0,0,0,0,1,0
2,19,5,0,0,0,0,0,1,0,0,1,0
7,16,4,0,0,0,0,0,1,1,0,0,0
13,25,4,1,0,0,0,0,0,0,1,0,0
19,32,5,0,0,0,1,0,0,0,0,0,1
14,12,5,0,0,1,0,0,0,0,0,0,1
9,2,4,0,1,0,0,0,0,0,0,1,0
3,4,5,0,0,0,1,0,0,0,0,0,1
2,21,4,0,0,0,1,0,0,0,0,0,1
2,22,4,0,0,0,1,0,0,0,0,1,0
8,12,4,0,0,0,0,0,1,0,0,1,0
15,33,4,0,0,0,0,0,1,1,0,0,0
19,22,4,0,0,0,1,0,0,0,0,1,0
10,8,4,0,0,0,0,1,0,0,1,0,0
15,33,4,0,0,0,0,0,1,0,1,0,0
10,20,4,0,1,0,0,0,0,0,1,0,0
4,31,4,0,0,0,0,1,0,0,1,0,0
4,2,4,0,0,0,0,1,0,0,0,1,0
13,17,4,1,0,0,0,0,0,0,0,0,1
16,14,4,0,0,0,0,1,0,0,0,1,0
16,13,5,0,0,0,0,1,0,0,1,0,0
1,32,3,1,0,0,0,0,0,0,0,1,0
16,22,5,0,0,0,1,0,0,0,0,0,1
10,22,5,0,0,0,0,0,1,0,0,1,0
10,22,5,0,0,0,0,0,1,0,1,0,0
15,8,5,0,0,1,0,0,0,0,0,0,1
4,29,5,0,0,1,0,0,0,0,0,1,0
18,32,5,0,0,1,0,0,0,0,1,0,0
4,26,3,1,0,0,0,0,0,1,0,0,0
8,16,5,1,0,0,0,0,0,0,0,0,1
8,16,5,1,0,0,0,0,0,0,1,0,0
2,18,4,0,0,0,1,0,0,0,0,1,0
